codmpio,depto,mpio,found,source,found2,comments
15740,BOYACA,SIACHOQUE,1547,BZ93,,
15753,BOYACA,SOATA,1543,BZ93,,
15759,BOYACA,SOGAMOSO,1779,BZ93,,
15761,BOYACA,SOMONDOCO,1756,BZ93,,
15762,BOYACA,SORA,1776,BZ93,,
15763,BOYACA,SOTAQUIRA,1776,BZ93,,
15764,BOYACA,SORACA,1780,BZ93,,
15778,BOYACA,SUTATENZA,1783,BZ93,,
15790,BOYACA,TASCO,1777,BZ93,,
15798,BOYACA,TENZA,1778,BZ93,,
15804,BOYACA,TIBANA,1776,BZ93,,
15806,BOYACA,TIBASOSA,1778,BZ93,,
15814,BOYACA,TOCA,1776,BZ93,,
15832,BOYACA,TUNUNGUA,1849,BZ93,,
15835,BOYACA,TURMEQUE,1776,BZ93,,
15839,BOYACA,TUTAZA,1849,BZ93,,
15842,BOYACA,UMBITA,1778,BZ93,,
15861,BOYACA,VENTAQUEMADA,1776,BZ93,,
15879,BOYACA,VIRACACHA,1789,BZ93,,
15897,BOYACA,ZETAQUIRA,1775,BZ93,,
17001,CALDAS,MANIZALES,1849,BZ93,,
17013,CALDAS,AGUADAS,1808,BZ93,,
17042,CALDAS,ANSERMA,1539,BZ93,,
17050,CALDAS,ARANZAZU,1853,BZ93,,
17088,CALDAS,BELALCAZAR,1889,BZ93,,
17174,CALDAS,CHINCHINA,1857,BZ93,,
17272,CALDAS,FILADELFIA,1850,BZ93,,
17380,CALDAS,LA DORADA,1900,BZ93,,
17433,CALDAS,MANZANARES,1864,BZ93,,
17442,CALDAS,MARMATO,1536,WEB.MUN,,*
17444,CALDAS,MARQUETALIA,1924,BZ93,,
17446,CALDAS,MARULANDA,1877,BZ93,,
17486,CALDAS,NEIRA,1844,BZ93,,
17513,CALDAS,PACORA,1829,BZ93,,
17524,CALDAS,PALESTINA,1855,BZ93,,
17541,CALDAS,PENSILVANIA,1866,BZ93,,
17614,CALDAS,RIOSUCIO,1819,WEB.MUN,,
17616,CALDAS,RISARALDA,1908,BZ93,,
17653,CALDAS,SALAMINA,1827,BZ93,,
17662,CALDAS,SAMANA,1884,BZ93,,
17777,CALDAS,SUPIA,1540,BZ93,,
17867,CALDAS,VICTORIA,1879,WEB.MUN,,
17873,CALDAS,VILLA MARIA,1834,WEB.MUN,,
17877,CALDAS,VITERBO,1911,BZ93,,
18001,CAQUETA,FLORENCIA,1894,BZ93,,
18094,CAQUETA,BELEN DE LOS ANDAQUIES,1917,BZ93,,
18150,CAQUETA,CARTAGENA DEL CHAIRA,1985,BZ93,,
18205,CAQUETA,CURILLO,1986,BZ93,,
18247,CAQUETA,EL DONCELLO,1967,BZ93,,
18256,CAQUETA,EL PAUJIL,1967,BZ93,,
18410,CAQUETA,LA MONTAÑITA,1940,BZ93,,
18460,CAQUETA,MILAN,1950,BZ93,,
18479,CAQUETA,MORELIA,1960,BZ93,,
18753,CAQUETA,SAN VICENTE DEL CAGUAN,1903,BZ93,,
18756,CAQUETA,SOLANO,1915,BZ93,,
18860,CAQUETA,VALPARAISO,1985,BZ93,,
19001,CAUCA,POPAYAN,1536,BZ93,,
19022,CAUCA,ALMAGUER,1551,BZ93,,
